,0
1407,TRIP6
1408,ACHE
1409,FTL
1410,BAX
1411,NLK
1412,PIGS
1413,ADAMTS2
1414,ATXN7L3
1415,PGS1
1416,PSMC5
1417,UIMC1
1418,CETP
1419,MMP2
1420,MT3
1421,GNAO1
1422,OGFOD1
1423,SH3BP2
1424,ADD1
1425,L2HGDH
1426,TXNDC16
1427,C14orf166
1428,NID2
1429,GMCL1
1430,SF3B2
1431,GNAS
1432,DNM1L
1433,PTHLH
1434,PHACTR3
1435,ERGIC2
1436,TFAP2C
1437,AURKA
1438,PIR
1439,RFX2
1440,METTL2A
1441,SULT2B1
1442,ALG6
1443,CNOT3
1444,GP6
1445,PTPN4
1446,DDX18
1447,KHSRP
1448,GNA11
1449,EDEM2
1450,DNMT3B
1451,REM1
1452,TPX2
1453,PDRG1
1454,EPB41L1
1455,SLC15A1
1456,DOCK9
1457,ANKRD10
1458,TGDS
1459,DOCK3
1460,C3orf18
1461,TMEM40
1462,KIF9
1463,ARHGAP28
1464,CRLS1
1465,PPP1R13B
1466,ATRN
1467,SMOX
1468,SIGLEC1
1469,FKBP1A
1470,NSFL1C
1471,SLC4A11
1472,C20orf194
1473,ZNF343
1474,EBF4
1475,CPXM1
1476,XRN2
1477,DYNLL1
1478,TESC
1479,SNX5
1480,RPL6
1481,SIRPG
1482,MAPKAPK5
1483,P2RX7
1484,ESF1
1485,RBBP9
1486,ANAPC5
1487,SLC23A2
1488,TASP1
1489,OAS1
1490,RPLP0
1491,PXN
1492,SIRT4
1493,RPH3A
1494,TRMT6
1495,CHGB
1496,PEBP1
1497,BRAP
1498,ERP29
1499,NOS1
1500,FUS
1501,IGBP1
1502,FXYD5
1503,ZNF302
1504,GRAMD1A
1505,FXYD3
1506,HEPH
1507,CMTM1
1508,KCNH4
1509,GANAB
1510,GMIP
1511,RBM41
1512,BIRC5
1513,LAG3
1514,MLF2
1515,OTUB2
1516,DDX24
1517,ZBTB25
1518,NECAP1
1519,ANKRD24
1520,DHX32
1521,RCOR1
1522,LTBP4
1523,BLVRB
1524,SLC9A1
1525,SPTLC1
1526,CCNK
1527,PCBP4
1528,RGS1
1529,YPEL3
1530,MRPS33
1531,NDUFB2
1532,NUDC
1533,MAEA
1534,ICAM1
1535,STRN4
1536,IRAK3
1537,LYZ
1538,TFAP4
1539,PDCD7
1540,SPG21
1541,DNAJB11
1542,THPO
1543,CHRD
1544,FLT3LG
1545,RAB11FIP3
1546,GNPTG
1547,GOLGA3
1548,PABPC4
1549,CD209
1550,MCOLN1
1551,USP48
1552,EFNB1
1553,PDPR
1554,AARS
1555,GLG1
1556,KIF4A
1557,TNRC6A
1558,PLEKHG2
1559,DLL3
1560,NAT14
1561,PITPNM2
1562,EXOC1
1563,RBM27
1564,POU4F3
1565,DTX2
1566,NLRC4
1567,PUS7
1568,LAMB4
1569,NRCAM
1570,LAMB1
1571,SLC26A4
1572,DLD
1573,WDR7
1574,TXNL1
1575,IL5RA
1576,ABCC6
1577,CMTM6
1578,ITGA6
1579,RAPGEF4
1580,SMPX
1581,FH
1582,TF
1583,CDV3
1584,MYO15A
1585,ALKBH5
1586,NLRP1
1587,PITPNM3
1588,SPAG7
1589,ZFHX4
1590,ZC3HC1
1591,ESR1
1592,RGS17
1593,ANGPT2
1594,TMEM101
1595,CD200
1596,CCDC80
1597,PSME1
1598,PPP2R3C
1599,CEBPE
1600,SLC7A8
1601,OSGEP
1602,SLC22A17
1603,RNF31
1604,SCFD1
1605,HECTD1
1606,HNRNPC
1607,RPGRIP1
1608,SUPT16H
1609,TGM1
1610,TINF2
1611,SEMA6A
1612,TRPM7
1613,TYRO3
1614,WDR76
1615,CAPN3
1616,SNAP23
1617,TBX15
1618,PHGDH
1619,MYL6
1620,TEKT2
1621,CLSPN
1622,RFFL
1623,UNC13D
1624,DPYSL2
1625,TGFB2
1626,GPATCH2
1627,NUP50
1628,COMT
1629,VNN3
1630,ECHDC1
1631,LRRFIP2
1632,SEC22C
1633,XYLB
1634,HDAC6
1635,GABRP
1636,CDC6
1637,UPRT
1638,CDC23
1639,AAAS
1640,CBX5
1641,FMO2
1642,MSH2
1643,MAP3K1
1644,DHPS
1645,HOOK2
1646,EPB41L4B
1647,TMEM38B
1648,PSMD5
1649,PTGS1
1650,NUP188
1651,CRAT
1652,SH2D3C
1653,NANS
1654,TBC1D2
1655,CWF19L1
1656,SEMA4G
1657,BTAF1
1658,IKZF5
1659,BLNK
1660,TLL2
1661,CYP26A1
1662,TDRD1
1663,SORBS1
1664,CRTAC1
1665,BAMBI
1666,IL11
1667,MYO3A
1668,WAC
1669,CREM
1670,NUBP2
1671,TPSD1
1672,HIVEP1
1673,TREM2
1674,CRISP3
1675,FKBP5
1676,SRPK1
1677,BRPF3
1678,MRPS18A
1679,TMEM14A
1680,EFHC1
1681,HSP90AB1
1682,CDC5L
1683,ITPR3
1684,ZNF184
1685,DSP
1686,SIRT1
1687,IFT74
1688,JAK2
